collected_at,department,capacity,applicants,applicants_extra,capacity_general,applicants_general
2026-09-07T20:00,건축학과,35,5,1,,
2026-09-07T20:00,재난안전학과,25,4,0,,
2026-09-07T20:00,보건안전공학과,27,9,1,,
2026-09-07T21:00,AI컴퓨터학부,60,12,3,,
2026-09-07T21:00,스마트IT학부,30,1,1,,
2026-09-07T21:00,전기전자공학과,35,17,2,,
2026-09-07T21:00,건축학과,35,5,1,,
2026-09-07T21:00,재난안전학과,25,6,0,,
2026-09-07T21:00,보건안전공학과,27,12,4,,
2026-09-07T22:00,AI컴퓨터학부,60,14,3,,
2026-09-07T22:00,스마트IT학부,30,1,2,,
2026-09-07T22:00,전기전자공학과,35,20,2,,
2026-09-07T22:00,건축학과,35,6,1,,
2026-09-07T22:00,재난안전학과,25,6,0,,
2026-09-07T22:00,보건안전공학과,27,12,4,,
2026-09-07T23:00,AI컴퓨터학부,60,14,3,,
2026-09-07T23:00,스마트IT학부,30,2,2,,
2026-09-07T23:00,전기전자공학과,35,21,2,,
2026-09-07T23:00,건축학과,35,6,1,,
2026-09-07T23:00,재난안전학과,25,6,0,,
2026-09-07T23:00,보건안전공학과,27,15,4,,
2026-09-08T00:00,AI컴퓨터학부,60,14,3,,
2026-09-08T00:00,스마트IT학부,30,2,2,,
2026-09-08T00:00,전기전자공학과,35,22,2,,
2026-09-08T00:00,건축학과,35,7,1,,
2026-09-08T00:00,재난안전학과,25,6,0,,
2026-09-08T00:00,보건안전공학과,27,15,4,,
2026-09-08T01:00,AI컴퓨터학부,60,14,3,,
2026-09-08T01:00,스마트IT학부,30,2,2,,
2026-09-08T01:00,전기전자공학과,35,23,2,,
2026-09-08T01:00,건축학과,35,7,1,,
2026-09-08T01:00,재난안전학과,25,6,0,,
2026-09-08T01:00,보건안전공학과,27,15,4,,
2026-09-08T02:00,AI컴퓨터학부,60,14,3,,
2026-09-08T02:00,스마트IT학부,30,2,2,,
2026-09-08T02:00,전기전자공학과,35,23,2,,
2026-09-08T02:00,건축학과,35,7,1,,
2026-09-08T02:00,재난안전학과,25,6,0,,
2026-09-08T02:00,보건안전공학과,27,15,4,,
2026-09-08T03:00,AI컴퓨터학부,60,14,3,,
2026-09-08T03:00,스마트IT학부,30,2,2,,
2026-09-08T03:00,전기전자공학과,35,23,2,,
2026-09-08T03:00,건축학과,35,7,1,,
2026-09-08T03:00,재난안전학과,25,6,0,,
2026-09-08T03:00,보건안전공학과,27,15,4,,
2026-09-08T04:00,AI컴퓨터학부,60,14,3,,
2026-09-08T04:00,스마트IT학부,30,2,2,,
2026-09-08T04:00,전기전자공학과,35,24,2,,
2026-09-08T04:00,건축학과,35,7,1,,
2026-09-08T04:00,재난안전학과,25,6,0,,
2026-09-08T04:00,보건안전공학과,27,15,4,,
2026-09-08T05:00,AI컴퓨터학부,60,14,3,,
2026-09-08T05:00,스마트IT학부,30,2,2,,
2026-09-08T05:00,전기전자공학과,35,24,2,,
2026-09-08T05:00,건축학과,35,7,1,,
2026-09-08T05:00,재난안전학과,25,6,0,,
2026-09-08T05:00,보건안전공학과,27,15,4,,
2026-09-08T06:00,AI컴퓨터학부,60,14,3,,
2026-09-08T06:00,스마트IT학부,30,2,2,,
2026-09-08T06:00,전기전자공학과,35,24,2,,
2026-09-08T06:00,건축학과,35,7,1,,
2026-09-08T06:00,재난안전학과,25,6,0,,
2026-09-08T06:00,보건안전공학과,27,15,4,,
2026-09-08T07:00,AI컴퓨터학부,60,14,3,,
2026-09-08T07:00,스마트IT학부,30,2,2,,
2026-09-08T07:00,전기전자공학과,35,24,2,,
2026-09-08T07:00,건축학과,35,7,1,,
2026-09-08T07:00,재난안전학과,25,6,0,,
2026-09-08T07:00,보건안전공학과,27,15,4,,
2026-09-08T08:00,AI컴퓨터학부,60,14,3,,
2026-09-08T08:00,스마트IT학부,30,2,2,,
2026-09-08T08:00,전기전자공학과,35,24,2,,
2026-09-08T08:00,건축학과,35,7,1,,
2026-09-08T08:00,재난안전학과,25,6,0,,
2026-09-08T08:00,보건안전공학과,27,15,4,,
2026-09-08T09:00,AI컴퓨터학부,60,14,3,,
2026-09-08T09:00,스마트IT학부,30,2,2,,
2026-09-08T09:00,전기전자공학과,35,25,2,,
2026-09-08T09:00,건축학과,35,8,1,,
2026-09-08T09:00,재난안전학과,25,6,0,,
2026-09-08T09:00,보건안전공학과,27,15,4,,
2026-09-08T10:00,AI컴퓨터학부,60,15,3,,
2026-09-08T10:00,스마트IT학부,30,2,2,,
2026-09-08T10:00,전기전자공학과,35,27,2,,
2026-09-08T10:00,건축학과,35,9,1,,
2026-09-08T10:00,재난안전학과,25,6,0,,
2026-09-08T10:00,보건안전공학과,27,15,4,,
2026-09-08T11:00,AI컴퓨터학부,60,15,3,,
2026-09-08T11:00,스마트IT학부,30,2,2,,
2026-09-08T11:00,전기전자공학과,35,31,2,,
2026-09-08T11:00,건축학과,35,11,3,,
2026-09-08T11:00,재난안전학과,25,7,0,,
2026-09-08T11:00,보건안전공학과,27,15,4,,
2026-09-08T12:00,AI컴퓨터학부,60,15,3,,
2026-09-08T12:00,스마트IT학부,30,2,2,,
2026-09-08T12:00,전기전자공학과,35,34,2,,
2026-09-08T12:00,건축학과,35,11,3,,
2026-09-08T12:00,재난안전학과,25,7,0,,
2026-09-08T12:00,보건안전공학과,27,17,4,,
2026-09-08T13:00,AI컴퓨터학부,60,15,3,,
2026-09-08T13:00,스마트IT학부,30,2,2,,
2026-09-08T13:00,전기전자공학과,35,34,2,,
2026-09-08T13:00,건축학과,35,12,4,,
2026-09-08T13:00,재난안전학과,25,7,0,,
2026-09-08T13:00,보건안전공학과,27,18,4,,
2026-09-08T14:00,AI컴퓨터학부,60,15,3,,
2026-09-08T14:00,스마트IT학부,30,2,2,,
2026-09-08T14:00,전기전자공학과,35,34,2,,
2026-09-08T14:00,건축학과,35,13,4,,
2026-09-08T14:00,재난안전학과,25,9,0,,
2026-09-08T14:00,보건안전공학과,27,19,4,,
2026-09-08T15:00,AI컴퓨터학부,60,15,4,,
2026-09-08T15:00,스마트IT학부,30,3,2,,
2026-09-08T15:00,전기전자공학과,35,38,2,,
2026-09-08T15:00,건축학과,35,13,4,,
2026-09-08T15:00,재난안전학과,25,10,0,,
2026-09-08T15:00,보건안전공학과,27,19,4,,
2026-09-08T16:00,AI컴퓨터학부,60,16,4,,
2026-09-08T16:00,스마트IT학부,30,5,2,,
2026-09-08T16:00,전기전자공학과,35,43,2,,
2026-09-08T16:00,건축학과,35,14,4,,
2026-09-08T16:00,재난안전학과,25,10,1,,
2026-09-08T16:00,보건안전공학과,27,19,4,,
2026-09-08T17:00,AI컴퓨터학부,60,16,4,,
2026-09-08T17:00,스마트IT학부,30,6,2,,
2026-09-08T17:00,전기전자공학과,35,46,2,,
2026-09-08T17:00,건축학과,35,15,4,,
2026-09-08T17:00,재난안전학과,25,10,1,,
2026-09-08T17:00,보건안전공학과,27,19,4,,
2026-09-08T18:00,AI컴퓨터학부,60,19,4,,
2026-09-08T18:00,스마트IT학부,30,6,2,,
2026-09-08T18:00,전기전자공학과,35,49,2,,
2026-09-08T18:00,건축학과,35,15,4,,
2026-09-08T18:00,재난안전학과,25,10,1,,
2026-09-08T18:00,보건안전공학과,27,19,4,,
2026-09-08T19:00,AI컴퓨터학부,60,22,4,,
2026-09-08T19:00,스마트IT학부,30,6,2,,
2026-09-08T19:00,전기전자공학과,35,49,2,,
2026-09-08T19:00,건축학과,35,16,4,,
2026-09-08T19:00,재난안전학과,25,10,1,,
2026-09-08T19:00,보건안전공학과,27,19,4,,
2026-09-08T20:00,AI컴퓨터학부,60,23,4,,
2026-09-08T20:00,스마트IT학부,30,7,2,,
2026-09-08T20:00,전기전자공학과,35,52,2,,
2026-09-08T20:00,건축학과,35,17,4,,
2026-09-08T20:00,재난안전학과,25,11,1,,
2026-09-08T20:00,보건안전공학과,27,19,4,,
2026-09-08T21:00,AI컴퓨터학부,60,26,4,,
2026-09-08T21:00,스마트IT학부,30,10,2,,
2026-09-08T21:00,전기전자공학과,35,58,2,,
2026-09-08T21:00,건축학과,35,17,4,,
2026-09-08T21:00,재난안전학과,25,11,1,,
2026-09-08T21:00,보건안전공학과,27,20,4,,
2026-09-08T22:00,AI컴퓨터학부,60,28,4,,
2026-09-08T22:00,스마트IT학부,30,11,2,,
2026-09-08T22:00,전기전자공학과,35,59,2,,
2026-09-08T22:00,건축학과,35,17,4,,
2026-09-08T22:00,재난안전학과,25,12,1,,
2026-09-08T22:00,보건안전공학과,27,20,4,,
2026-09-08T23:00,AI컴퓨터학부,60,31,4,,
2026-09-08T23:00,스마트IT학부,30,11,2,,
2026-09-08T23:00,전기전자공학과,35,63,2,,
2026-09-08T23:00,건축학과,35,17,4,,
2026-09-08T23:00,재난안전학과,25,13,1,,
2026-09-08T23:00,보건안전공학과,27,21,4,,
2026-09-09T00:00,AI컴퓨터학부,60,31,4,,
2026-09-09T00:00,스마트IT학부,30,11,2,,
2026-09-09T00:00,전기전자공학과,35,66,2,,
2026-09-09T00:00,건축학과,35,20,4,,
2026-09-09T00:00,재난안전학과,25,13,1,,
2026-09-09T00:00,보건안전공학과,27,21,4,,
2026-09-09T01:00,AI컴퓨터학부,60,31,4,,
2026-09-09T01:00,스마트IT학부,30,11,2,,
2026-09-09T01:00,전기전자공학과,35,68,2,,
2026-09-09T01:00,건축학과,35,20,4,,
2026-09-09T01:00,재난안전학과,25,13,1,,
2026-09-09T01:00,보건안전공학과,27,21,4,,
2026-09-09T02:00,AI컴퓨터학부,60,32,4,,
2026-09-09T02:00,스마트IT학부,30,11,2,,
2026-09-09T02:00,전기전자공학과,35,68,2,,
2026-09-09T02:00,건축학과,35,20,4,,
2026-09-09T02:00,재난안전학과,25,13,1,,
2026-09-09T02:00,보건안전공학과,27,21,4,,
2026-09-09T03:00,AI컴퓨터학부,60,32,4,,
2026-09-09T03:00,스마트IT학부,30,11,2,,
2026-09-09T03:00,전기전자공학과,35,69,2,,
2026-09-09T03:00,건축학과,35,20,4,,
2026-09-09T03:00,재난안전학과,25,14,1,,
2026-09-09T03:00,보건안전공학과,27,21,4,,
2026-09-09T04:00,AI컴퓨터학부,60,32,4,,
2026-09-09T04:00,스마트IT학부,30,11,2,,
2026-09-09T04:00,전기전자공학과,35,69,2,,
2026-09-09T04:00,건축학과,35,20,4,,
2026-09-09T04:00,재난안전학과,25,14,1,,
2026-09-09T04:00,보건안전공학과,27,21,4,,
2026-09-09T05:00,AI컴퓨터학부,60,32,4,,
2026-09-09T05:00,스마트IT학부,30,11,2,,
2026-09-09T05:00,전기전자공학과,35,69,2,,
2026-09-09T05:00,건축학과,35,20,4,,
2026-09-09T05:00,재난안전학과,25,14,1,,
2026-09-09T05:00,보건안전공학과,27,21,4,,
2026-09-09T06:00,AI컴퓨터학부,60,32,4,,
2026-09-09T06:00,스마트IT학부,30,11,2,,
2026-09-09T06:00,전기전자공학과,35,69,2,,
2026-09-09T06:00,건축학과,35,20,4,,
2026-09-09T06:00,재난안전학과,25,14,1,,
2026-09-09T06:00,보건안전공학과,27,21,4,,
2026-09-09T07:00,AI컴퓨터학부,60,32,4,,
2026-09-09T07:00,스마트IT학부,30,11,2,,
2026-09-09T07:00,전기전자공학과,35,69,2,,
2026-09-09T07:00,건축학과,35,20,4,,
2026-09-09T07:00,재난안전학과,25,14,1,,
2026-09-09T07:00,보건안전공학과,27,21,4,,
2026-09-09T08:00,AI컴퓨터학부,60,32,4,,
2026-09-09T08:00,스마트IT학부,30,11,2,,
2026-09-09T08:00,전기전자공학과,35,69,2,,
2026-09-09T08:00,건축학과,35,20,4,,
2026-09-09T08:00,재난안전학과,25,14,1,,
2026-09-09T08:00,보건안전공학과,27,21,4,,
2026-09-09T09:00,AI컴퓨터학부,60,32,4,,
2026-09-09T09:00,스마트IT학부,30,11,2,,
2026-09-09T09:00,전기전자공학과,35,69,2,,
2026-09-09T09:00,건축학과,35,20,4,,
2026-09-09T09:00,재난안전학과,25,14,1,,
2026-09-09T09:00,보건안전공학과,27,21,4,,
2026-09-09T10:00,AI컴퓨터학부,60,33,4,,
2026-09-09T10:00,스마트IT학부,30,11,2,,
2026-09-09T10:00,전기전자공학과,35,72,2,,
2026-09-09T10:00,건축학과,35,21,4,,
2026-09-09T10:00,재난안전학과,25,14,1,,
2026-09-09T10:00,보건안전공학과,27,21,4,,
2026-09-09T11:00,AI컴퓨터학부,60,36,4,,
2026-09-09T11:00,스마트IT학부,30,11,2,,
2026-09-09T11:00,전기전자공학과,35,73,2,,
2026-09-09T11:00,건축학과,35,21,4,,
2026-09-09T11:00,재난안전학과,25,14,1,,
2026-09-09T11:00,보건안전공학과,27,21,4,,
2026-09-09T12:00,AI컴퓨터학부,60,38,4,,
2026-09-09T12:00,스마트IT학부,30,11,2,,
2026-09-09T12:00,전기전자공학과,35,76,3,,
2026-09-09T12:00,건축학과,35,23,4,,
2026-09-09T12:00,재난안전학과,25,14,1,,
2026-09-09T12:00,보건안전공학과,27,22,4,,
2026-09-09T13:00,AI컴퓨터학부,60,39,4,,
2026-09-09T13:00,스마트IT학부,30,11,2,,
2026-09-09T13:00,전기전자공학과,35,78,3,,
2026-09-09T13:00,건축학과,35,24,4,,
2026-09-09T13:00,재난안전학과,25,14,1,,
2026-09-09T13:00,보건안전공학과,27,22,4,,
2026-09-09T14:00,AI컴퓨터학부,60,39,4,,
2026-09-09T14:00,스마트IT학부,30,11,2,,
2026-09-09T14:00,전기전자공학과,35,80,3,,
2026-09-09T14:00,건축학과,35,24,4,,
2026-09-09T14:00,재난안전학과,25,15,1,,
2026-09-09T14:00,보건안전공학과,27,22,4,,
2026-09-09T16:20,AI컴퓨터학부,60,41,4,,
2026-09-09T16:20,스마트IT학부,30,12,2,,
2026-09-09T16:20,전기전자공학과,35,83,3,,
2026-09-09T16:20,건축학과,35,25,4,,
2026-09-09T16:20,재난안전학과,25,20,1,,
2026-09-09T16:20,보건안전공학과,27,23,4,,
2026-09-09T16:30,AI컴퓨터학부,60,41,4,,
2026-09-09T16:30,스마트IT학부,30,12,2,,
2026-09-09T16:30,전기전자공학과,35,84,3,,
2026-09-09T16:30,건축학과,35,26,4,,
2026-09-09T16:30,재난안전학과,25,20,1,,
2026-09-09T16:30,보건안전공학과,27,23,4,,
2026-09-09T17:00,AI컴퓨터학부,60,41,4,42,30
2026-09-09T17:00,스마트IT학부,30,12,2,24,4
2026-09-09T17:00,전기전자공학과,35,85,3,25,51
2026-09-09T17:00,건축학과,35,26,4,35,26
2026-09-09T17:00,재난안전학과,25,21,1,20,20
2026-09-09T17:00,보건안전공학과,27,25,4,20,15
2026-09-09T18:00,AI컴퓨터학부,60,43,4,42,31
2026-09-09T18:00,스마트IT학부,30,12,2,24,4
2026-09-09T18:00,전기전자공학과,35,86,4,25,52
2026-09-09T18:00,건축학과,35,28,3,35,28
2026-09-09T18:00,재난안전학과,25,23,1,20,22
2026-09-09T18:00,보건안전공학과,27,25,3,20,15
2026-09-09T19:00,AI컴퓨터학부,60,43,4,42,31
2026-09-09T19:00,스마트IT학부,30,12,2,24,4
2026-09-09T19:00,전기전자공학과,35,89,4,25,54
2026-09-09T19:00,건축학과,35,29,3,35,29
2026-09-09T19:00,재난안전학과,25,24,1,20,23
2026-09-09T19:00,보건안전공학과,27,27,3,20,15
2026-09-09T20:00,AI컴퓨터학부,60,44,5,42,32
2026-09-09T20:00,스마트IT학부,30,13,3,24,4
2026-09-09T20:00,전기전자공학과,35,93,4,25,57
2026-09-09T20:00,건축학과,35,30,3,35,30
2026-09-09T20:00,재난안전학과,25,24,1,20,23
2026-09-09T20:00,보건안전공학과,27,28,3,20,16
2026-09-09T21:00,AI컴퓨터학부,60,47,5,42,35
2026-09-09T21:00,스마트IT학부,30,13,3,24,4
2026-09-09T21:00,전기전자공학과,35,95,5,25,59
2026-09-09T21:00,건축학과,35,31,3,35,31
2026-09-09T21:00,재난안전학과,25,26,1,20,25
2026-09-09T21:00,보건안전공학과,27,29,3,20,17
2026-09-09T22:00,AI컴퓨터학부,60,48,5,42,36
2026-09-09T22:00,스마트IT학부,30,14,3,24,5
2026-09-09T22:00,전기전자공학과,35,99,5,25,61
2026-09-09T22:00,건축학과,35,36,3,35,36
2026-09-09T22:00,재난안전학과,25,29,1,20,28
2026-09-09T22:00,보건안전공학과,27,30,3,20,18
2026-09-09T23:00,AI컴퓨터학부,60,49,5,42,37
2026-09-09T23:00,스마트IT학부,30,14,3,24,5
2026-09-09T23:00,전기전자공학과,35,101,5,25,63
2026-09-09T23:00,건축학과,35,39,4,35,39
2026-09-09T23:00,재난안전학과,25,29,1,20,28
2026-09-09T23:00,보건안전공학과,27,31,3,20,19
2026-09-10T00:00,AI컴퓨터학부,60,53,5,42,40
2026-09-10T00:00,스마트IT학부,30,14,3,24,5
2026-09-10T00:00,전기전자공학과,35,102,5,25,64
2026-09-10T00:00,건축학과,35,40,5,35,40
2026-09-10T00:00,재난안전학과,25,32,1,20,31
2026-09-10T00:00,보건안전공학과,27,32,3,20,19
2026-09-10T01:00,AI컴퓨터학부,60,53,5,42,40
2026-09-10T01:00,스마트IT학부,30,14,3,24,5
2026-09-10T01:00,전기전자공학과,35,104,5,25,65
2026-09-10T01:00,건축학과,35,40,5,35,40
2026-09-10T01:00,재난안전학과,25,32,1,20,31
2026-09-10T01:00,보건안전공학과,27,32,3,20,19
2026-09-10T02:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T02:00,스마트IT학부,30,14,3,24,5
2026-09-10T02:00,전기전자공학과,35,104,5,25,65
2026-09-10T02:00,건축학과,35,40,5,35,40
2026-09-10T02:00,재난안전학과,25,33,1,20,32
2026-09-10T02:00,보건안전공학과,27,33,3,20,20
2026-09-10T03:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T03:00,스마트IT학부,30,14,3,24,5
2026-09-10T03:00,전기전자공학과,35,104,5,25,65
2026-09-10T03:00,건축학과,35,40,5,35,40
2026-09-10T03:00,재난안전학과,25,33,1,20,32
2026-09-10T03:00,보건안전공학과,27,33,3,20,20
2026-09-10T04:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T04:00,스마트IT학부,30,14,3,24,5
2026-09-10T04:00,전기전자공학과,35,104,5,25,65
2026-09-10T04:00,건축학과,35,40,5,35,40
2026-09-10T04:00,재난안전학과,25,33,1,20,32
2026-09-10T04:00,보건안전공학과,27,33,3,20,20
2026-09-10T05:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T05:00,스마트IT학부,30,14,3,24,5
2026-09-10T05:00,전기전자공학과,35,104,5,25,65
2026-09-10T05:00,건축학과,35,40,5,35,40
2026-09-10T05:00,재난안전학과,25,33,1,20,32
2026-09-10T05:00,보건안전공학과,27,33,3,20,20
2026-09-10T06:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T06:00,스마트IT학부,30,14,3,24,5
2026-09-10T06:00,전기전자공학과,35,104,5,25,65
2026-09-10T06:00,건축학과,35,40,5,35,40
2026-09-10T06:00,재난안전학과,25,33,1,20,32
2026-09-10T06:00,보건안전공학과,27,33,3,20,20
2026-09-10T07:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T07:00,스마트IT학부,30,14,3,24,5
2026-09-10T07:00,전기전자공학과,35,105,5,25,65
2026-09-10T07:00,건축학과,35,40,5,35,40
2026-09-10T07:00,재난안전학과,25,33,1,20,32
2026-09-10T07:00,보건안전공학과,27,33,3,20,20
2026-09-10T08:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T08:00,스마트IT학부,30,14,3,24,5
2026-09-10T08:00,전기전자공학과,35,106,5,25,66
2026-09-10T08:00,건축학과,35,40,5,35,40
2026-09-10T08:00,재난안전학과,25,33,1,20,32
2026-09-10T08:00,보건안전공학과,27,33,3,20,20
2026-09-10T09:00,AI컴퓨터학부,60,54,5,42,41
2026-09-10T09:00,스마트IT학부,30,14,3,24,5
2026-09-10T09:00,전기전자공학과,35,107,5,25,67
2026-09-10T09:00,건축학과,35,42,6,35,42
2026-09-10T09:00,재난안전학과,25,33,1,20,32
2026-09-10T09:00,보건안전공학과,27,33,3,20,20
2026-09-10T10:00,AI컴퓨터학부,60,55,5,42,41
2026-09-10T10:00,스마트IT학부,30,14,3,24,5
2026-09-10T10:00,전기전자공학과,35,108,6,25,68
2026-09-10T10:00,건축학과,35,45,7,35,45
2026-09-10T10:00,재난안전학과,25,33,1,20,32
2026-09-10T10:00,보건안전공학과,27,33,3,20,20
2026-09-10T11:00,AI컴퓨터학부,60,57,5,42,43
2026-09-10T11:00,스마트IT학부,30,14,3,24,5
2026-09-10T11:00,전기전자공학과,35,111,6,25,70
2026-09-10T11:00,건축학과,35,48,7,35,48
2026-09-10T11:00,재난안전학과,25,34,1,20,33
2026-09-10T11:00,보건안전공학과,27,33,3,20,20
2026-09-10T12:00,AI컴퓨터학부,60,58,5,42,43
2026-09-10T12:00,스마트IT학부,30,16,3,24,7
2026-09-10T12:00,전기전자공학과,35,111,6,25,70
2026-09-10T12:00,건축학과,35,48,7,35,48
2026-09-10T12:00,재난안전학과,25,35,1,20,34
2026-09-10T12:00,보건안전공학과,27,34,4,20,21
2026-09-10T13:00,AI컴퓨터학부,60,58,5,42,43
2026-09-10T13:00,스마트IT학부,30,16,3,24,7
2026-09-10T13:00,전기전자공학과,35,111,6,25,70
2026-09-10T13:00,건축학과,35,50,7,35,50
2026-09-10T13:00,재난안전학과,25,35,1,20,34
2026-09-10T13:00,보건안전공학과,27,36,4,20,23
2026-09-10T14:00,AI컴퓨터학부,60,59,5,42,44
2026-09-10T14:00,스마트IT학부,30,16,3,24,7
2026-09-10T14:00,전기전자공학과,35,111,7,25,70
2026-09-10T14:00,건축학과,35,50,7,35,50
2026-09-10T14:00,재난안전학과,25,35,1,20,34
2026-09-10T14:00,보건안전공학과,27,37,4,20,24
2026-09-10T15:00,AI컴퓨터학부,60,60,5,42,45
2026-09-10T15:00,스마트IT학부,30,16,3,24,7
2026-09-10T15:00,전기전자공학과,35,117,9,25,73
2026-09-10T15:00,건축학과,35,51,7,35,51
2026-09-10T15:00,재난안전학과,25,35,1,20,34
2026-09-10T15:00,보건안전공학과,27,38,4,20,25
2026-09-10T16:00,AI컴퓨터학부,60,61,6,42,46
2026-09-10T16:00,스마트IT학부,30,16,3,24,7
2026-09-10T16:00,전기전자공학과,35,119,9,25,75
2026-09-10T16:00,건축학과,35,52,7,35,52
2026-09-10T16:00,재난안전학과,25,34,1,20,33
2026-09-10T16:00,보건안전공학과,27,42,4,20,28
2026-09-10T17:00,AI컴퓨터학부,60,63,6,42,46
2026-09-10T17:00,스마트IT학부,30,16,4,24,7
2026-09-10T17:00,전기전자공학과,35,120,9,25,76
2026-09-10T17:00,건축학과,35,53,7,35,53
2026-09-10T17:00,재난안전학과,25,36,1,20,35
2026-09-10T17:00,보건안전공학과,27,42,4,20,28
2026-09-10T18:00,AI컴퓨터학부,60,64,6,42,47
2026-09-10T18:00,스마트IT학부,30,17,3,24,7
2026-09-10T18:00,전기전자공학과,35,122,9,25,77
2026-09-10T18:00,건축학과,35,56,7,35,56
2026-09-10T18:00,재난안전학과,25,38,1,20,37
2026-09-10T18:00,보건안전공학과,27,42,4,20,28
2026-09-10T19:00,AI컴퓨터학부,60,64,6,42,47
2026-09-10T19:00,스마트IT학부,30,17,3,24,7
2026-09-10T19:00,전기전자공학과,35,125,10,25,80
2026-09-10T19:00,건축학과,35,57,7,35,57
2026-09-10T19:00,재난안전학과,25,39,1,20,38
2026-09-10T19:00,보건안전공학과,27,42,4,20,28
2026-09-10T19:30,AI컴퓨터학부,60,65,6,42,48
2026-09-10T19:30,스마트IT학부,30,18,3,24,7
2026-09-10T19:30,전기전자공학과,35,127,10,25,81
2026-09-10T19:30,건축학과,35,57,7,35,57
2026-09-10T19:30,재난안전학과,25,39,1,20,38
2026-09-10T19:30,보건안전공학과,27,42,4,20,28
2026-09-10T19:50,AI컴퓨터학부,60,66,6,42,49
2026-09-10T19:50,스마트IT학부,30,18,3,24,7
2026-09-10T19:50,전기전자공학과,35,128,10,25,81
2026-09-10T19:50,건축학과,35,57,7,35,57
2026-09-10T19:50,재난안전학과,25,39,1,20,38
2026-09-10T19:50,보건안전공학과,27,42,4,20,28
2026-09-10T20:00,AI컴퓨터학부,60,67,6,42,50
2026-09-10T20:00,스마트IT학부,30,18,3,24,7
2026-09-10T20:00,전기전자공학과,35,128,10,25,81
2026-09-10T20:00,건축학과,35,57,7,35,57
2026-09-10T20:00,재난안전학과,25,40,1,20,39
2026-09-10T20:00,보건안전공학과,27,42,4,20,28
2026-09-10T21:00,AI컴퓨터학부,60,70,6,42,53
2026-09-10T21:00,스마트IT학부,30,19,3,24,8
2026-09-10T21:00,전기전자공학과,35,135,10,25,84
2026-09-10T21:00,건축학과,35,60,7,35,60
2026-09-10T21:00,재난안전학과,25,41,1,20,40
2026-09-10T21:00,보건안전공학과,27,42,4,20,28
2026-09-10T22:00,AI컴퓨터학부,60,73,6,42,54
2026-09-10T22:00,스마트IT학부,30,19,3,24,8
2026-09-10T22:00,전기전자공학과,35,140,10,25,86
2026-09-10T22:00,건축학과,35,62,7,35,62
2026-09-10T22:00,재난안전학과,25,41,1,20,40
2026-09-10T22:00,보건안전공학과,27,45,4,20,31
